#
#  pflu216595cyc 22.5 Reactions link table generated on Mon Sep 10, 2018
#
ACETYL-COA-CARBOXYLTRANSFER-RXN	EC-6.4.1.2
RIBOKIN-RXN	EC-2.7.1.15
RXN-18209	
TRANS-RXN0-507	
RXN-9532	EC-2.3.1.86	EC-2.3.1.85	EC-1.1.1.100
RXN-12561	EC-2.3.1.9
RXN-15378	EC-1.3.5.1
RXN-12195	EC-3.6.1.15
GLUTDEHYD-RXN	EC-1.4.1.4
RXN1G1K-6	
3.1.6.14-RXN	EC-3.1.6.14
RXN-12366	EC-2.4.2.43
RXN-14451	
RXN-14192	EC-2.7.1.40
RXN-17780	EC-4.2.1.17
ACETYL-COA-HYDROLASE-RXN	EC-3.1.2.1
RXN-18435	EC-3.2.2.23
GLYCOPHOSPHORYL-RXN	EC-2.4.1.1
RXN-10949	EC-3.1.3.25
RXN-17951	EC-1.4.3.19
RXN-12429	EC-3.2.1.159
RXN-17008	EC-2.3.1.51
PMPOXI-RXN	EC-1.4.3.5
RXN-7567	EC-4.2.1.84
RXN-15154	EC-2.7.1.202
TRANS-RXN1G1K-40	
RXN-17778	EC-2.3.1.16
RXN1G-508	EC-1.1.1.100
DIHYDROXYISOVALDEHYDRAT-RXN	EC-4.2.1.9
RXN0-5061	EC-2.4.1
PNPOXI-RXN	EC-1.4.3.5
PYRUVATE-CARBOXYLASE-RXN	EC-6.4.1.1
3-HYDROXYBUTYRATE-DEHYDROGENASE-RXN	EC-1.1.1.30
RXN-16024	EC-2.3.1.15
PHENYLSERINE-ALDOLASE-RXN	EC-4.1.2.26
RXN-18229	EC-3.5.5.1
RXN-8756	
ABC-27-RXN	EC-3.6.3.27
RXN-9514	EC-2.3.1.86	EC-2.3.1.85	EC-1.1.1.100
NAD-SYNTH-GLN-RXN	EC-6.3.5.1
6.3.4.11-RXN	EC-6.3.4.11
THIKIN-RXN	EC-2.7.1.89
RXNQT-4168	EC-1.1.1.85
RXN0-4341	EC-2.7.1.167
RXN-10954	EC-3.1.3.25
TRANS-RXN1G1K-39	
RXN1G1K-17	
PROTOCATECHUATE-34-DIOXYGENASE-RXN	EC-1.13.11.3
RXN0-7271	EC-1.8.4
RXN-17765	EC-2.7.1.209
RXN-18206	
RXN-12184	EC-6.2.1.3
RXN0-5122	EC-2.4
RXN-14971	EC-1.3.5.1
PYRIDOXAL-4-DEHYDROGENASE-RXN	EC-1.1.1.107
DIHYDROFOLATEREDUCT-RXN	EC-1.5.1.3
RXN-18207	
RXN-17766	EC-5.1.3.39
SULFATE-ADENYLYLTRANS-RXN	EC-2.7.7.4
AIRCARBOXY-RXN	EC-4.1.1.21
RXN-14261	EC-2.4.1.25
5.5.1.2-RXN	EC-5.5.1.2
TIGLYLCOA-HYDROXY-RXN	EC-4.2.1.17
RXN1G1K-5	
ASNSYNB-RXN	EC-6.3.5.4
TRANS-RXN-1	
RXN0-2061	
RXN-11026	EC-1.3.3.6
RXN-17897	EC-1.18.1.2
GLUTAMATE-DEHYDROGENASE-NADP+-RXN	EC-1.4.1.3
1.5.1.15-RXN	EC-1.5.1.15
ABC-7-RXN	EC-3.6.3.25
FUMARYLACETOACETASE-RXN	EC-3.7.1.2
RXN-16626	EC-1.1.1.100
RXN0-4301	EC-5.3.1.28
PHOSCHOL-RXN	EC-3.1.4.4
SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN	EC-1.3.5.1
RXN-14353	EC-2.4.1.1
RXN1G-240	EC-1.1.1
UDP-NACMUR-ALA-LIG-RXN	EC-6.3.2.8
RXN-18357	EC-1.5.1.3
MEPROPCOA-FAD-RXN	EC-1.3.8
RUBREDOXIN--NAD+-REDUCTASE-RXN	EC-1.18.1.1
RXN-14207	EC-2.7.1.40
ADCLY-RXN	EC-4.1.3.38
4-CARBOXYMUCONOLACTONE-DECARBOXYLASE-RXN	EC-4.1.1.44
RXN0-5245	
RXN-10953	EC-3.1.3.25
1.18.1.2-RXN	EC-1.18.1.2
RXN-17761	EC-2.7.1.210
ACETYLHOMOSER-CYS-RXN	EC-2.5.1.49
RXN0-5055	EC-2.1.3
RXN-15152	EC-2.7.1.202
RXN1G1K-28	
RXN-10060	EC-1.1.1.100
UNDECAPRENYL-DIPHOSPHATASE-RXN	EC-3.6.1.27
R313-RXN	EC-4.2.1.84
RXN-17762	EC-5.3.1.34
RXN-15468	
THYMIDYLATESYN-RXN	EC-2.1.1.45
ASPARTASE-RXN	EC-4.3.1.1
RXN-12567	EC-4.2.1.17
RXN-12518	EC-1.3.3.6
RXN0-5462	EC-3.6.5.1	EC-3.6.5.2	EC-3.6.5.3	EC-3.6.5.4	EC-3.6.5.5	EC-3.6.5.6
RXNQT-4171	EC-1.1.1.85
6.3.4.10-RXN	EC-6.3.4.10
2OXOGLUTDECARB-RXN	EC-1.2.4.2
RXN-12720	EC-2.7.7.4
RXN-924	
RXN0-6274	EC-2.5.1.75
RXN-18204	
3.1.13.5-RXN	EC-3.1.13.5
TRANS-RXN1G1K-16	
RXN-8036	EC-3.2.1.21
KDOTRANS-RXN	EC-2.4.99.12
RXN0-6478	EC-3.1.26.12
3.4.17.13-RXN	EC-3.4.17.13
RXN-18205	
RXN-16117	EC-2.3.1.15
3.6.3.31-RXN	EC-3.6.3.31
RXN-18428	
RXN-9518	EC-2.3.1.86	EC-2.3.1.85	EC-1.1.1.100
RXN0-1147	EC-2.3.1.61
TRNA-URACIL-5--METHYLTRANSFERASE-RXN	EC-2.1.1.35
DALADALALIG-RXN	EC-6.3.2.4
3.6.3.25-RXN	EC-3.6.3.25
R223-RXN	EC-6.2.1.3
RXN0-6479	EC-3.1.13.1
4.1.1.51-RXN	EC-4.1.1.51
25-DIOXOVALERATE-DEHYDROGENASE-RXN	EC-1.2.1.26
RXN-17609	EC-4.2.1.84
TRANS-RXN1G1K-38	
COBALAMIN5PSYN-RXN	EC-2.7.8.26
RXN1G1K-4	
ALLOPHANATE-HYDROLASE-RXN	EC-3.5.1.54
ASNSYNA-RXN	EC-6.3.1.1
RXN-14284	EC-2.4.1.1
RXN-12669	EC-1.3.3.6
RXN-9674	EC-3.2.1.21
OXALODECARB-RXN	EC-1.1.1.40	EC-4.1.1.3
RXN-10952	EC-3.1.3.25
LAUROYLACYLTRAN-RXN	EC-2.3.1.241
CHOLINE-SULFATASE-RXN	EC-3.1.6.6
3-DEHYDROQUINATE-DEHYDRATASE-RXN	EC-4.2.1.10
2.7.3.9-RXN	EC-2.7.3.9
RXN1G-157	EC-1.1.1.100
RXN-17354	
RXN0-2605	EC-3.1.11.5
2.6.1.37-RXN	EC-2.6.1.37
3.1.26.5-RXN	EC-3.1.26.5
RXN-14117	EC-2.7.1.40
RXN-17789	EC-4.2.1.17
RXN0-3922	EC-1.2.1.99
RXN0-20	EC-2.5.1
RXN0-5123	EC-2.7.1
RXN-14730	EC-4.3.1.29
L-IDITOL-2-DEHYDROGENASE-RXN	EC-1.1.1.14
PDXJ-RXN	EC-2.6.99.2
RXN-13602	EC-3.2.1.21
RXNQT-4174	EC-1.1.1.85
RXN-17355	
1.1.1.215-RXN	EC-1.1.1.215
ADENYLOSUCCINATE-SYNTHASE-RXN	EC-6.3.4.4
RXN-8348	EC-2.10.1.1
RXN-15157	EC-2.7.1.202
TRANS-RXN-141	
RXN-11480	EC-1.1.1.100
TRANS-RXN0-544	
R502-RXN	EC-1.5.3
RXN-11455	EC-3.5.4.32
NITRILE-HYDRATASE-RXN	EC-4.2.1.84
DEHYDOGLUCONOKINASE-RXN	EC-2.7.1.13
RXN-18202	
SHIKIMATE-5-DEHYDROGENASE-RXN	EC-1.1.1.25
AZOBENZENE-REDUCTASE-RXN	EC-1.7.1.6
RXN-9233	EC-2.1.1.222
BENZALDEHYDE-DEHYDROGENASE-NAD+-RXN	EC-1.2.1.28
1.1.1.43-RXN	EC-1.1.1.43
RXN-18846	EC-3.2.1.21
RXN-18203	
GLUCONATE-2-DEHYDROGENASE-RXN	EC-1.1.99.3
GLUCOKIN-RXN	EC-2.7.1.1	EC-2.7.1.2
TRANS-RXN-141A	
RXN-16380	EC-6.2.1.3
1.14.12.4-RXN	EC-1.14.12.4
MANNPGUANYLTRANGDP-RXN	EC-2.7.7.22
PNKIN-RXN	EC-2.7.1.35
SUCCCOASYN-RXN	EC-6.2.1.5
RXN-14725	EC-4.2.1.84
RXN-7644	EC-1.1.1.14
RXN-7253	EC-3.1.3.25
RXN-10707	EC-1.3.3.6
RXN0-4222	EC-3.1.13.1
ABC-70-RXN	EC-3.6.3.25
3.2.1.159-RXN	EC-3.2.1.159
HISTIDPHOS-RXN	EC-3.1.3.15
RXN1G1K-16	
THREDEHYD-RXN	EC-4.3.1.19
RXN-8391	EC-2.3.1.179
ARYLSULFATE-SULFOTRANSFERASE-RXN	EC-2.8.2.22
AGMATINE-DEIMINASE-RXN	EC-3.5.3.12
H2PTEROATESYNTH-RXN	EC-2.5.1.15
NICOTINATEPRIBOSYLTRANS-RXN	EC-6.3.4.21
RXN-14179	EC-3.2.1.21
AMP-NUCLEOSID-RXN	EC-3.2.2.4
RXN-15122	
RXN-17018	EC-2.3.1.15
3.5.1.29-RXN	EC-3.5.1.29
RXN-10705	EC-4.2.1.17
3.3.2.5-RXN	EC-3.3.2.2
RXN66-550	EC-1.5.5.1
RXN1G-163	EC-1.1.1
GAPOXNPHOSPHN-RXN	EC-1.2.1.12
ADDALT-RXN	EC-3.5.4.4
RXN-15121	
RXN-14957	EC-2.8.1.8
RXN-15151	EC-2.7.1.202
SUCCGLUDESUCC-RXN	EC-3.5.1.96
RXNQT-4178	EC-1.1.1.85
GDPMANMANHYDRO-RXN	EC-3.2.1.42
RXN-15123	EC-3.5.99
1.2.1.67-RXN	EC-1.2.1.67
PYRIDOXKIN-RXN	EC-2.7.1.35
RXN-18200	
4.2.2.3-RXN	EC-4.2.2.3
RXN1G1K-3	
RXN-16690	
RXN-18201	
3.6.3.1-RXN	EC-3.6.3.1
3.2.1.141-RXN	EC-3.2.1.141
GSAAMINOTRANS-RXN	EC-5.4.3.8
ACETOOHBUTREDUCTOISOM-RXN	EC-1.1.1.86
3.2.1.21-RXN	EC-3.2.1.21
GLYMALTOPHOSPHORYL-RXN	EC-2.4.1.1
SULFITE-REDUCT-RXN	EC-1.8.1.2
HOLO-ACP-SYNTH-RXN	EC-2.7.8.7
COBINAMIDEKIN-RXN	EC-2.7.1.156
RXN-11210	EC-3.5.1.6
4.1.1.68-RXN	EC-4.1.1.68
NAD-SYNTH-NH3-RXN	EC-6.3.1.5
RXN1G1K-42	
H2NEOPTERINP3PYROPHOSPHOHYDRO-RXN	EC-3.6.1.67
GDP-MANNOSE-6-DEHYDROGENASE-RXN	EC-1.1.1.132
RXN-9553	EC-4.2.1
THREODEHYD-RXN	EC-1.1.1.103
RXN-10773	EC-3.2.1.21
RXN-14775	EC-1.3.3.6
R125-RXN	EC-2.3.1.247
CARBOXY-OXOHEPT-ENEDIOATE-DECARBOXY-RXN	
PROLINE--TRNA-LIGASE-RXN	EC-6.1.1.15
IPPISOM-RXN	EC-5.3.3.2
RXN-14729	EC-2.7.1.203
RXN-16389	EC-6.2.1.3
MCPMETEST-RXN	EC-3.1.1.61
RXN-12721	EC-1.8.4.9
ARYLSULFAT-RXN	EC-3.1.6.1
RXN-14986	EC-1.1.1.85
RXN1K-87	
RXN-13871	EC-2.3.1.5
LEUCINE--TRNA-LIGASE-RXN	EC-6.1.1.4
RXN-5341	EC-3.2.1.21
RXN0-5510	EC-3.6.1
RXN-18210	
RXN-12864	
RXN-13616	EC-4.2.1.17
RXN-18211	
RXN0-12	
RXN-12746	EC-6.2.1.41
RXN-12867	EC-1.8.1
RXN0-949	EC-2.8.1.8
RXN1G1K-41	
PHOSACETYLTRANS-RXN	EC-2.3.1.8
RXN-12865	EC-1.8.1
RXN0-6480	EC-3.1.26.5
METHIONINE-GAMMA-LYASE-RXN	EC-4.4.1.11
RIB5PISOM-RXN	EC-5.3.1.6
3-HYDROXYISOBUTYRYL-COA-HYDROLASE-RXN	EC-3.1.2.4
RXN-10769	EC-3.2.1.21
RXN0-5124	EC-2.4.1.44
CHER-RXN	EC-2.1.1.80
RXN-16076	EC-2.3.1.51
RXN0-4961	EC-3.1.11
RXN-14301	
GLUTSEMIALDEHYDROG-RXN	EC-1.2.1.41
RXN0-6705	EC-2.3.1.51
6.3.5.7-RXN	EC-6.3.5.7
RXN-1623	EC-2.3.1.51
RETINYL-PALMITATE-ESTERASE-RXN	EC-3.1.1.1
RXN0-5266	EC-1.10.3.14
RXN-13158	EC-1.1.1.85
RXN-13698	EC-2.6.1.2
RXN-14785	EC-1.3.3.6
PYRAMKIN-RXN	EC-2.7.1.35
XMPXAN-RXN	EC-3.1.3.5
5.4.99.15-RXN	EC-5.4.99.15
UGD-RXN	EC-1.1.1.22
3-OXOADIPATE-COA-TRANSFERASE-RXN	EC-2.8.3.6
RIBOFLAVINKIN-RXN	EC-2.7.1.26
RXN-14570	EC-2.3.1.234
TRANS-RXN1G1K-4	
TRANS-RXN1G1K-37	
RXN1G1K-40	
1.13.11.15-RXN	EC-1.13.11.15
THRESYN-RXN	EC-4.2.3.1
MYO-INOSITOL-2-DEHYDROGENASE-RXN	EC-1.1.1.18
3-ISOPROPYLMALDEHYDROG-RXN	
RXN0-280	EC-1.14.14.5
RXN-11781	EC-6.3.2.36
RXN-13603	EC-3.2.1.21
RXN0-5182	EC-2.4.1.1
RXN-7800	
TRANS-RXN1G1K-15	
PHOSPHOENOLPYRUVATE-MUTASE-RXN	EC-5.4.2.9
RXN0-6259	EC-1.3.5.3
HEMEOSYN-RXN	EC-2.5.1.br
RXN0-5021	EC-2.7.7
RXN0-5414	
RXN-15093	EC-2.7.1.204
RXN-13329	
GTP-CYCLOHYDRO-I-RXN	EC-3.5.4.16
RXN-4301	EC-3.2.1.68
R464-RXN	
RXN0-6973	EC-1.14.14.5
ETHAMLY-RXN	EC-4.3.1.7
RXN-14266	EC-4.2.1.17
3.1.1.64-RXN	EC-3.1.1.1
RXN0-5114	EC-3.1.3.3
RXN0-7248	EC-6.2.1.3
TRANS-RXN1G1K-36	
DEOXYGLUCONOKIN-RXN	EC-2.7.1.178	EC-2.7.1.45
DIMETHUROPORDEHYDROG-RXN	EC-1.3.1.76
RXN-7706	EC-1.1.1.1
DCYSDESULF-RXN	EC-4.4.1.15
RXN-18430	
RXN-14950	EC-2.8.1.8
RXN1G-260	EC-1.1.1
DHBDEHYD-RXN	EC-1.3.1.28
ASPARTATEKIN-RXN	EC-2.7.2.4
RXN-18273	EC-2.7.7
RXN-14970	EC-1.3.5.4
ACETOLACTREDUCTOISOM-RXN	EC-1.1.1.86
RXN-11574	EC-2.1.1.173
RXN0-1281	EC-1.1.1
FPPSYN-RXN	EC-2.5.1.10
3.1.1.23-RXN	EC-3.1.1.23
RXN-17847	EC-2.3.2.6
RXN-15169	EC-2.7.1.204
RXN-17010	EC-2.3.1.51
RXN-9855	EC-1.13.11
HOMOSERDEHYDROG-RXN	EC-1.1.1.3
RXN-11272	
RXN-12729	EC-4.4.1.8
ACETOACETATE--COA-LIGASE-RXN	EC-6.2.1.16
ALANINE-AMINOTRANSFERASE-RXN	EC-2.6.1.2
RXN-13418	EC-1.14.14.5
ALCOHOL-DEHYDROG-RXN	EC-1.1.1.1
TRANS-RXN1G1K-35	
TRANS-RXN1G1K-3	
RXN-15137	
TRANS-RXN1G1K-14	
HISTCYCLOHYD-RXN	EC-3.5.4.19
GLYCEROL-1-PHOSPHATASE-RXN	EC-3.1.3.21
3.1.2.23-RXN	EC-3.1.2.23
RXN-13163	EC-4.2.1.33
2-OCTAPRENYL-6-OHPHENOL-METHY-RXN	EC-2.1.1.222
ISOLEUCINE--TRNA-LIGASE-RXN	EC-6.1.1.5
RXN-12252	EC-3.1.1.1
RXN-12448	EC-1.1.1.1
RXN-17607	EC-3.5.5.1
RXN0-5359	EC-2.7.7.65
ALANINE--TRNA-LIGASE-RXN	EC-6.1.1.7
RXN-14959	EC-2.8.1.8
RXN-8991	
RXN-17776	EC-4.2.1.17
PSERPHOSPHA-RXN	EC-3.1.3.3
RXN-7919	EC-3.1.2.6
LYSDECARBOX-RXN	EC-4.1.1.18
3.4.21.88-RXN	EC-3.4.21.88
RXN-10911	EC-1.1.1.1
TRANS-RXN0-222	EC-3.6.3.21
N-FORMYLGLUTAMATE-DEFORMYLASE-RXN	EC-3.5.1.68
3-ISOPROPYLMALISOM-RXN	
RXN-15168	EC-2.7.1.204
AMIDASE-RXN	EC-3.5.1.4
THIOREDOXIN-REDUCT-NADPH-RXN	EC-1.8.1.9
4.1.2.41-RXN	EC-4.1.2.41
DXS-RXN	EC-2.2.1.7
RXN-15977	EC-1.3.3.6
RXN-16402	EC-6.2.1.3
RXN-11841	EC-5.4.99.27
RXN-15341	EC-1.14.14.5
PHOSMANMUT-RXN	EC-5.4.2.8
4.2.1.101-RXN	EC-4.2.1.101
GLYOXII-RXN	EC-3.1.2.6
RXN-17956	EC-4.7.1.1
RXN1G1K-2	
RXN-7694	EC-1.1.1.1
RXN1G-358	EC-1.1.1
TRANS-RXN1G1K-34	
RXN-5061	EC-1.5.7.1
RXN-1602	EC-3.1.1.34	EC-3.1.1.79
THREOSPON-RXN	
RXN0-5125	EC-2.4.1.73
AIRS-RXN	EC-6.3.3.1
GLURS-RXN	EC-6.1.1.17
RXN-18431	
ARGININE-N-SUCCINYLTRANSFERASE-RXN	EC-2.3.1.109
CYSTATHIONINE-BETA-LYASE-RXN	EC-4.4.1.8
GTP-CYCLOHYDRO-II-RXN	EC-3.5.4.25
RXN-5961	EC-1.14.99
RXN-12730	EC-2.1.1.14
RXN0-5268	EC-1.10.3.10
RXN1G1K-15	
GLUTKIN-RXN	EC-2.7.2.11
1.2.1.25-RXN	EC-1.2.1.25
5.3.4.1-RXN	EC-5.3.4.1
2.1.1.133-RXN	EC-2.1.1.133
NICOTINATE-DEHYDROGENASE-RXN	EC-1.17.2.1
RXN-14147	EC-2.6.1.57
RXN-7657	EC-1.1.1.1
RXN0-5393	EC-4.2.1.17
RXN-8783	EC-3.1.1.17
RXN0-5391	EC-5.3.3.8
3.4.19.5-RXN	EC-3.4.19.5
RXN-10767	EC-3.1.1.1
RXN-15131	
RXN-12392	EC-2.4.1.1
UREASE-RXN	EC-3.5.1.5
L-GLN-FRUCT-6-P-AMINOTRANS-RXN	EC-2.6.1.16
ABC-14-RXN	EC-3.6.3.21
RXN-17362	EC-3.4.23.36
2.1.1.131-RXN	EC-2.1.1.131
PGLYCDEHYDROG-RXN	EC-1.1.1.95
RXN0-299	EC-1.14.11.17
RXN0-5390	EC-3.1.2
THI-P-KIN-RXN	EC-2.7.4.16
RXN-15171	EC-2.7.1.204
TRANS-RXN-104	
RXN-12445	EC-1.5.1.41
METHYLACETOACETYLCOATHIOL-RXN	EC-2.3.1.9
RXN-7561	EC-2.3.1.109
RXN-14452	
2.6.1.57-RXN	EC-2.6.1.57
MALEYLACETOACETATE-ISOMERASE-RXN	EC-5.2.1.2
RXN-1603	
RXN1G1K-1	
3.5.1.81-RXN	EC-3.5.1.81
RXN-7931	EC-5.3.3.8
DISULISOM-RXN	EC-5.3.4.1
RXN-9952	EC-1.1.1.44
RXN-13037	EC-2.3.1.181
RXN0-6522	EC-3.1.26.12
RXN1G1K-39	
RXN-1961	EC-6.3.4.19
TRANS-RXN1G1K-33	
RXN-13290	EC-6.2.1.3
RXN-10781	EC-1.1.1.1
RXN-14789	EC-1.3.3.6
TYROSINE-AMINOTRANSFERASE-RXN	EC-2.6.1.57	EC-2.6.1.5
UDPGLUCEPIM-RXN	EC-5.1.3.2
O-SUCCHOMOSERLYASE-RXN	EC-2.5.1.48
FORMATETHFLIG-RXN	EC-6.3.4.3
ISOCHORMAT-RXN	EC-3.3.2.1
RXN-14273	EC-4.2.1.17
HOMOCYSMET-RXN	EC-2.1.1.14
RXN-11586	EC-2.1.1.192
RXN-17873	EC-3.4.11.18
TRANS-RXN1G1K-13	
PHENYLALANINE--TRNA-LIGASE-RXN	EC-6.1.1.20
COBALAMINSYN-RXN	EC-2.7.8.26
FMNREDUCT-RXN	EC-1.5.1.39
1.3.1.54-RXN	EC-1.3.1.54
R311-RXN	EC-3.5.1.4
ALCOHOL-DEHYDROG-GENERIC-RXN	EC-1.1.1.1
PHEAMINOTRANS-RXN	EC-2.6.1.57
RXN-12575	EC-3.1.1.1
TRANS-RXN1G1K-32	
RIBOFLAVIN-SYN-RXN	EC-2.5.1.9
RXN-15007	EC-2.6.1.11
RXN-16804	
RXN-13714	EC-3.5.1.101
RXN-15170	EC-2.7.1.204
CATECHOL-12-DIOXYGENASE-RXN	EC-1.13.11.1
RXN-9023	EC-2.4.1.25
FGAMSYN-RXN	EC-6.3.5.3
RXN-17876	EC-3.4.11.18
RXN-7693	EC-1.1.1.1
GPH-RXN	EC-3.1.3.18
RXN-9856	EC-5.5.1.11
RXN-11591	EC-2.1.1.176
RXN-10656	EC-4.2.1.59
RXN-12444	EC-1.5.1.38
RXN-9384	EC-2.5.1.48
F16ALDOLASE-RXN	EC-4.1.2.13
RXN0-5131	EC-2.7.7
PHOSPHOGLUCMUT-RXN	EC-5.4.2.2
RXN-11588	EC-2.1.1.185
TRANS-RXN1G1K-31	
RXN-17875	EC-3.4.11.18
RXN-14286	EC-2.4.1.1
RXN0-947	EC-2.3.1.181
RXN-10711	EC-3.1.1.1
TRANS-RXN1G1K-2	
2.3.1.128-RXN	EC-2.3.1
RXN-16619	EC-4.2.1.59
ATPASE-RXN	EC-3.6.1.15
RXN-18602	EC-2.5.1.48
RXN-10696	EC-1.3.3.6
ACETYLORNTRANSAM-RXN	EC-2.6.1.11
2.3.1.157-RXN	EC-2.3.1.157
RXN0-2441	EC-2.1.1.144
GLUCARDEHYDRA-RXN	EC-4.2.1.40
RXN-11244	EC-4.2.1.17
RXN-16997	
RXN-5424	EC-1.1.1.1
TRANS-RXN0-277	EC-1.6.1.5
RXN-17878	EC-3.4.11.18
RXN-16330	
RXN-12199	EC-3.6.1.5
TRANS-RXN0-623	EC-6.2.1.3
RXN-16659	EC-3.4.16.4
RXN1G-363	EC-4.2.1.59
RXN0-7008	EC-1.5.5.2
TRANS-RXN1G1K-12	
1.6.4.4-RXN	EC-1.8.1.8
MUCONOLACTONE-DELTA-ISOMERASE-RXN	EC-5.3.3.4
RXN-17874	EC-3.4.11.18
KDOTRANS2-RXN	EC-2.4.99.13
DNA-CYTOSINE-5--METHYLTRANSFERASE-RXN	EC-2.1.1.37
RXN-16998	
SUCCINYLDIAMINOPIMTRANS-RXN	EC-2.6.1.17
RXN1G1K-38	
4.2.1.59-RXN	EC-2.3.1.86	EC-2.3.1.85	EC-4.2.1.59
RXN0-6948	EC-2.3.1.1
RXN0-6377	EC-1.7.1.4
RXN66-548	
TRANS-RXN1G1K-1	
RXN-9766	EC-1.14.13
CARBOXYLESTERASE-RXN	EC-3.1.1.1
MHPELY-RXN	EC-4.1.3.39
CATAL-RXN	EC-1.11.1.6	EC-1.11.1.21
RXN-8668	EC-1.8.4.11
6PFRUCTPHOS-RXN	EC-2.7.1.11
TRE6PHYDRO-RXN	EC-3.2.1.93
RXN-12424	EC-3.2.1.81
4-HYDROXYPHENYLPYRUVATE-DIOXYGENASE-RXN	EC-1.13.11.27
RXN66-478	EC-1.1.1.1
RXN-15086	EC-2.7.1.205
3.4.11.18-RXN	EC-3.4.11.18
GDPMANDEHYDRA-RXN	EC-4.2.1.47
RXN0-884	EC-1.17.7.4
RXN0-5190	EC-4.2.2
RXN-9655	EC-2.3.1.86	EC-2.3.1.85	EC-4.2.1.59
RXN-10053	EC-2.2.1.11
RXN-9623	EC-6.2.1.3
RXN-9028	EC-2.6.1.86
RXN0-5126	EC-2.4.1.58
ASPAMINOTRANS-RXN	EC-2.6.1.1
P-PANTOCYSDECARB-RXN	EC-4.1.1.36
RXN-1781	EC-2.4.1.99
3.4.23.43-RXN	EC-3.4.23.43
RXN-17114	EC-4.2.1.17
RXN-16685	
RXN-14189	EC-1.11.1.6
RXN-11176	
N-ACETYLTRANSFER-RXN	EC-2.3.1.1
RXN-11737	EC-2.6.1.1
RXN-10706	EC-1.3.3.6
RXN-9887	EC-3.1.1.45
RXN0-748	EC-1.17.4.1
RXNQT-4366	EC-3.1.1.1
RXN-17877	EC-3.4.11.18
RXN0-1861	EC-1.1.1.305
RXN0-2144	EC-4.2.1.59
R345-RXN	EC-6.3.5.10
6PGLUCONOLACT-RXN	EC-3.1.1.31
2.1.1.132-RXN	EC-2.1.1.132
RXN-2962	EC-1.1.1.284
PENICILLIN-AMIDASE-RXN	EC-3.5.1.11
LACTALDDEHYDROG-RXN	EC-1.2.1.22
FORMAMIDASE-RXN	EC-3.5.1.49
RXN3O-4113	EC-1.1.1.1
GLUCOSAMINE-6-P-DEAMIN-RXN	EC-3.5.99.6
